age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,wage_class
29,4,267989,13,13,6,14,5,4,1,0,0,50,41,0
19,8,301606,14,10,5,9,3,3,1,0,0,35,41,1
47,8,287828,13,13,6,12,1,4,0,0,0,40,41,0
20,8,111697,14,10,5,11,3,4,0,0,0,28,41,1
31,8,114937,9,12,6,11,5,4,1,0,0,40,41,0
35,5,129305,15,9,6,7,5,4,1,0,0,40,41,1
39,8,365739,14,10,4,13,4,4,1,0,0,40,41,1
28,8,69621,9,12,5,10,4,4,0,0,0,60,41,1
24,8,43323,15,9,5,9,4,4,0,0,0,40,41,1
38,7,120985,15,9,6,13,5,4,1,4386,0,35,41,1
37,8,254202,13,13,6,10,5,4,1,0,0,50,41,1
46,8,146195,9,12,4,3,4,3,0,0,0,36,41,1
38,2,125933,12,14,6,14,5,4,1,0,0,40,18,0
43,7,56920,15,9,6,13,5,4,1,0,0,60,41,1
27,8,163127,11,11,6,11,1,4,0,0,0,35,41,1
20,8,34310,14,10,5,10,3,4,1,0,0,20,41,1
49,8,81973,14,10,6,13,5,2,1,0,0,40,41,0
61,3,66614,15,9,6,13,5,4,1,0,0,40,41,1
27,8,232782,14,10,5,10,3,4,0,0,0,40,41,1
19,8,316868,14,10,5,9,3,4,1,0,0,30,40,1
45,8,196584,11,11,5,14,4,4,0,0,0,40,41,0
70,8,105376,14,10,5,3,0,4,1,0,0,40,41,1
31,8,185814,15,9,5,6,2,3,0,0,0,30,41,1
22,8,175374,14,10,6,9,5,4,1,0,0,24,41,1
36,8,108293,15,9,2,9,2,4,0,0,0,24,41,1
64,8,181232,10,7,6,13,5,4,1,0,0,40,41,1
43,5,174662,14,10,4,7,4,4,0,0,0,40,41,1
47,6,186009,14,10,4,11,2,4,0,0,0,38,40,1
34,8,198183,15,9,5,11,4,4,0,0,0,40,41,1
33,8,163003,13,13,5,12,0,2,0,0,0,40,38,1
21,8,296158,15,9,5,13,3,4,1,0,0,35,41,1
52,5,252903,15,9,4,7,4,4,1,0,0,45,41,0
48,8,187715,15,9,6,13,5,4,1,0,0,46,41,1
23,8,214542,13,13,5,5,4,4,1,0,0,40,41,1
71,7,494223,14,10,3,10,2,3,1,0,0,2,41,1
29,8,191535,15,9,4,13,4,4,1,0,0,60,41,1
42,8,228456,13,13,3,9,0,3,1,0,0,50,41,1
68,5,38317,1,2,4,7,4,4,0,0,0,20,41,1
25,8,252752,15,9,5,9,2,4,0,0,0,40,41,1
44,3,78374,12,14,4,12,2,2,0,0,0,40,41,1
28,8,88419,15,9,5,12,4,2,0,0,0,40,31,1
45,7,201080,12,14,6,10,5,4,1,0,0,40,41,0
36,8,207157,14,10,4,9,2,4,0,0,0,40,40,1
39,2,235485,9,12,5,12,4,4,1,0,0,42,41,1
46,4,102628,12,14,2,2,2,4,1,0,0,40,41,1
18,8,25828,10,7,5,5,3,4,1,0,0,16,41,1
66,6,54826,11,11,2,14,4,4,0,0,0,20,41,1
27,8,124953,15,9,5,9,4,4,1,0,0,40,41,1
28,4,175325,15,9,6,2,5,4,1,0,0,40,41,1
51,8,96062,14,10,6,10,5,4,1,0,0,40,41,0
27,8,428030,13,13,5,13,4,4,1,0,0,50,41,1
28,4,149624,13,13,6,14,5,4,1,0,0,40,41,0
27,8,253814,15,9,1,10,2,4,0,0,0,25,41,1
21,8,312956,15,9,5,13,3,3,1,0,0,40,41,1
34,8,483777,15,9,5,5,4,3,1,0,0,40,41,1
18,8,183930,15,9,5,9,3,4,1,0,0,12,41,1
33,8,37274,13,13,6,14,5,4,1,0,0,65,41,1
44,6,181344,14,10,6,12,5,3,1,0,0,38,41,0
43,8,114580,14,10,4,11,4,4,0,0,0,40,41,1
30,8,178356,14,10,5,13,4,3,1,0,0,45,41,1
40,8,286370,7,4,6,8,5,4,1,0,0,40,40,0
37,2,29054,14,10,6,11,5,4,1,0,0,42,41,0
34,8,304030,15,9,6,11,5,3,1,0,0,40,41,1
41,7,143129,13,13,4,12,4,4,0,0,0,40,41,1
53,5,135105,13,13,4,7,4,4,0,0,0,50,41,1
31,8,99928,12,14,6,14,1,4,0,0,0,50,41,1
58,4,109567,3,16,6,14,5,4,1,0,0,1,41,0
38,8,155222,14,10,4,8,4,3,0,0,0,28,41,1
24,8,159567,14,10,6,8,5,4,1,0,0,40,41,1
41,6,178356,13,13,6,13,5,3,1,0,0,40,41,1
47,8,120939,14,10,6,3,5,4,1,0,0,45,41,1
41,2,130760,13,13,6,3,5,4,1,0,0,24,41,1
23,8,197387,2,3,6,6,0,4,1,0,0,40,40,1
36,8,99374,14,10,4,13,4,4,1,0,0,40,41,1
40,2,56795,12,14,5,12,4,4,0,14084,0,55,41,0
35,8,138992,12,14,6,14,0,4,1,7298,0,40,41,0
24,7,32921,15,9,5,10,4,4,1,0,0,40,41,1
26,8,397317,12,14,5,14,4,4,0,0,0,40,41,1
19,5,170653,15,9,5,7,3,4,1,0,0,40,27,1
51,8,259323,13,13,6,12,5,4,1,0,0,50,41,0
42,6,254817,14,10,5,14,4,4,0,0,0,40,41,1
37,4,48211,15,9,4,11,2,4,0,0,0,35,41,1
18,8,140164,10,7,5,10,3,4,0,0,0,40,41,1
36,8,128757,13,13,6,9,5,3,1,7298,0,36,41,0
35,8,36270,15,9,4,13,4,4,1,0,0,60,41,1
58,3,210563,15,9,6,10,1,4,0,15024,0,35,41,0
17,8,65368,10,7,5,10,3,4,0,0,0,12,41,1
44,6,160943,15,9,6,6,5,3,1,0,0,40,41,1
37,8,208358,15,9,6,13,5,4,1,0,0,40,41,0
35,8,153790,14,10,5,10,4,1,0,0,0,40,41,1
60,8,85815,15,9,6,13,5,2,1,0,0,40,41,1
54,3,125417,7,4,6,8,5,4,1,0,0,40,41,0
37,8,178356,13,13,5,12,4,3,1,0,0,60,41,0
50,8,313321,9,12,4,10,4,4,0,0,0,40,41,1
38,8,182609,13,13,6,10,5,4,1,0,0,50,22,1
45,8,109434,13,13,6,14,5,4,1,0,0,55,41,1
25,8,255004,8,6,5,13,4,4,1,0,0,40,41,1
31,8,197860,14,10,6,5,5,4,1,0,0,40,41,1
64,5,187656,1,2,4,7,4,4,1,0,0,40,41,1
37,8,51744,15,9,5,9,4,3,1,0,0,40,41,1
54,8,176681,15,9,6,11,5,3,1,0,0,20,41,1
53,6,140359,0,1,5,8,4,4,0,0,0,35,41,1
18,8,243313,15,9,5,10,3,4,0,0,0,40,41,1
60,5,24215,8,6,4,7,4,1,0,0,0,10,41,1
66,7,167687,15,9,6,4,5,4,1,1409,0,50,41,1
75,8,314209,11,11,2,11,4,4,0,0,0,20,21,1
65,8,176796,15,9,4,11,4,4,0,0,0,40,41,1
35,8,178356,10,7,3,6,4,3,1,3674,0,40,41,1
41,8,130408,15,9,4,10,2,3,0,0,0,38,41,1
25,8,159732,14,10,5,11,4,4,1,0,0,42,41,1
33,8,110978,14,10,4,13,0,0,0,0,0,40,41,1
28,8,76714,6,15,5,14,4,4,1,0,0,55,41,0
59,4,268700,15,9,6,9,5,4,1,0,0,40,41,1
40,4,170525,14,10,5,11,4,4,0,0,0,38,41,1
41,8,180138,13,13,6,12,5,4,1,0,0,50,18,0
38,6,115076,12,14,6,12,5,4,1,0,0,70,41,0
23,8,115458,15,9,5,6,3,4,1,0,0,40,41,1
40,8,347890,13,13,6,14,5,4,1,0,0,40,41,0
41,7,196001,15,9,6,9,1,4,0,0,0,20,41,1
24,4,273905,9,12,6,2,5,4,1,0,0,50,41,1
20,5,119156,14,10,5,7,3,4,1,0,0,20,41,1
38,8,179488,14,10,4,13,4,4,1,0,0,40,41,1
56,8,203580,15,9,6,11,5,4,1,0,0,35,39,1
58,8,236596,15,9,6,11,5,4,1,0,0,45,41,0
32,8,183916,15,9,5,9,4,4,0,0,0,34,41,1
40,8,207578,9,12,6,3,5,4,1,0,0,60,41,0
45,8,153141,15,9,6,11,5,4,1,0,0,40,39,1
41,8,112763,6,15,6,14,1,4,0,0,0,40,41,0
42,8,390781,13,13,6,11,1,3,0,0,0,40,41,1
59,6,171328,8,6,2,9,2,3,0,0,0,30,41,1
19,6,27382,14,10,5,11,3,4,1,0,0,40,41,1
58,8,259014,14,10,5,6,4,4,1,0,0,20,41,1
42,7,303044,15,9,6,4,5,2,1,0,0,40,9,0
20,8,117789,15,9,5,9,3,4,0,0,0,40,41,1
32,8,172579,15,9,3,9,4,4,0,0,0,30,41,1
45,8,187666,11,11,2,12,4,4,0,0,0,45,41,1
50,8,204518,7,4,4,13,4,4,1,0,0,40,41,1
36,8,150042,13,13,4,14,3,4,0,0,0,40,41,1
45,8,98092,15,9,6,10,5,4,1,0,0,60,41,1
17,8,245918,10,7,5,9,3,4,1,0,0,12,41,1
59,8,146013,14,10,6,10,5,4,1,4064,0,40,41,1
26,8,378322,10,7,6,13,5,4,1,0,0,40,41,1
37,3,257295,14,10,6,12,5,2,1,0,0,75,6,0
19,5,218956,14,10,5,7,3,4,1,0,0,24,36,1
64,8,21174,15,9,6,12,5,4,1,0,0,40,41,0
33,8,185480,13,13,5,14,4,4,0,0,0,45,41,1
33,8,222205,15,9,6,13,1,4,0,0,0,40,41,0
61,8,69867,15,9,6,12,5,4,1,0,0,40,41,0
17,8,191260,5,5,5,9,3,4,1,1055,0,24,41,1
50,7,30653,12,14,6,4,5,4,1,2407,0,40,41,1
27,6,209109,12,14,5,14,3,4,1,0,0,35,41,1
30,8,70377,15,9,4,14,3,4,0,0,0,40,41,1
43,8,477983,15,9,6,5,5,3,1,0,0,40,41,1
44,8,170924,14,10,6,13,5,4,1,7298,0,40,41,0
35,8,190174,14,10,5,12,4,4,0,0,0,40,41,1
25,8,193787,14,10,5,3,3,4,0,0,0,40,41,1
24,8,279472,14,10,6,8,1,4,0,7298,0,48,41,0
22,8,34918,13,13,5,14,4,4,0,0,0,15,37,1
42,6,97688,14,10,6,13,5,4,1,5178,0,40,41,0
34,8,175413,9,12,4,10,2,3,0,0,0,45,41,1
60,8,173960,13,13,4,14,4,4,0,0,0,42,41,1
21,8,205759,15,9,5,5,3,4,1,0,0,40,41,1
57,2,425161,12,14,6,10,5,4,1,15024,0,40,41,0
41,8,220531,6,15,6,14,5,4,1,0,0,60,41,0
50,8,176609,14,10,4,9,4,4,1,0,0,45,41,1
25,8,371987,13,13,5,12,4,4,0,0,0,40,41,1
50,8,193884,7,4,6,13,5,4,1,0,0,40,12,1
36,8,200352,13,13,6,14,5,4,1,0,0,45,41,1
31,8,127595,15,9,4,14,4,4,0,0,0,40,41,1
29,6,220419,13,13,5,2,4,4,1,0,0,56,41,1
21,8,231931,14,10,5,10,3,4,1,0,0,45,41,1
27,8,248402,13,13,5,3,2,3,0,0,0,40,41,1
65,8,111095,15,9,6,6,5,4,1,0,0,16,41,1
37,3,57424,13,13,4,10,4,4,0,0,0,60,41,1
39,5,157443,12,14,6,7,1,2,0,3464,0,40,39,1
24,8,278130,15,9,5,13,3,4,1,0,0,40,41,1
38,8,169469,15,9,4,10,4,4,1,0,0,40,41,1
48,8,146268,13,13,6,11,5,4,1,7688,0,40,41,0
21,8,153718,14,10,5,9,4,2,0,0,0,25,41,1
31,8,217460,15,9,6,6,5,4,1,0,0,45,41,0
55,8,238638,15,9,6,10,5,4,1,4386,0,40,41,0
24,8,303296,14,10,6,11,1,2,0,0,0,40,7,1
43,8,173321,15,9,4,11,4,4,0,0,0,40,41,1
26,8,193945,9,12,5,3,4,4,1,0,0,45,41,1
46,8,83082,9,12,5,14,4,4,0,0,0,33,41,1
35,8,193815,9,12,6,11,5,4,1,0,0,40,41,0
41,3,34987,14,10,6,4,5,4,1,0,0,54,41,0
26,8,59306,13,13,5,10,4,4,1,0,0,40,41,1
34,8,142897,12,14,6,12,5,2,1,7298,0,35,20,0
19,5,178356,14,10,5,7,3,3,0,0,0,25,41,1
36,7,205607,13,13,4,14,4,3,0,0,0,40,41,0
22,8,199698,14,10,5,10,3,4,1,0,0,15,41,1
24,8,191954,14,10,5,8,4,4,1,0,0,40,41,1
77,7,138714,14,10,6,10,5,4,1,0,0,40,41,1
22,8,399087,2,3,6,8,0,4,0,0,0,40,40,1
29,8,423158,14,10,5,3,4,4,0,0,0,40,41,1
62,8,159841,15,9,2,9,4,4,0,0,0,24,41,1
39,7,174308,15,9,6,12,5,4,1,0,0,40,41,1
43,8,50356,14,10,6,13,5,4,1,0,0,50,41,1
35,8,186110,15,9,4,6,4,4,1,0,0,45,41,1
29,8,200381,10,7,5,12,4,4,0,0,0,40,41,1
76,7,174309,12,14,6,13,5,4,1,0,0,10,41,1
63,7,78383,15,9,6,4,5,4,1,0,0,45,41,1
23,5,211601,11,11,5,7,3,3,0,0,0,15,41,1
43,8,187728,14,10,6,14,1,4,0,0,0,50,41,0
58,7,321171,15,9,6,5,5,4,1,0,0,40,41,1
66,8,127921,15,9,5,6,4,4,1,2050,0,55,41,1
41,8,206565,14,10,5,13,4,3,1,0,0,45,41,1
26,8,224563,13,13,5,11,4,4,1,0,0,40,41,1
47,8,178686,11,11,5,9,4,4,1,0,0,40,41,1
55,6,98545,8,6,6,11,5,4,1,0,0,40,41,1
53,8,242606,15,9,6,6,5,4,1,0,0,40,41,1
17,8,270942,2,3,5,9,0,4,1,0,0,48,40,1
30,8,94235,15,9,5,13,0,4,1,0,0,40,41,1
49,8,71195,12,14,5,14,4,4,1,0,0,60,41,1
19,8,104112,15,9,5,10,2,3,1,0,0,30,19,1
45,8,261192,15,9,6,9,5,3,1,0,0,40,41,1
26,8,94936,9,12,5,10,4,4,1,0,0,40,41,1
38,8,296478,11,11,6,13,5,4,1,7298,0,40,41,0
36,4,119272,15,9,6,2,5,4,1,7298,0,40,41,0
33,8,85043,15,9,5,4,4,4,1,0,0,20,41,1
22,4,293364,14,10,5,2,3,3,0,0,0,40,41,1
43,7,241895,13,13,5,10,4,4,1,0,0,42,41,1
67,5,36135,10,7,6,7,5,4,1,0,0,8,41,1
30,5,151989,11,11,4,7,2,4,0,0,0,40,41,1
56,8,101128,9,12,1,9,4,4,1,0,0,25,18,1
31,8,156464,13,13,5,14,3,4,1,0,0,25,41,1
33,8,117963,13,13,6,12,5,4,1,0,0,40,41,0
26,8,192262,15,9,6,9,5,4,1,0,0,40,41,1
33,8,111363,13,13,6,12,5,4,1,0,0,40,41,0
46,6,329752,10,7,6,6,5,4,1,0,0,30,41,1
59,5,372020,13,13,6,7,5,4,1,0,0,40,41,0
38,2,95432,15,9,6,11,5,4,1,0,0,40,41,0
65,8,161400,10,7,2,9,2,0,1,0,0,40,41,1
40,8,96129,11,11,6,3,5,4,1,0,0,40,41,0
42,8,111949,15,9,6,11,1,4,0,0,0,35,41,1
26,7,117125,5,5,6,13,5,4,1,0,0,40,17,1
36,8,348022,8,6,6,9,1,4,0,0,0,24,41,1
62,8,270092,12,14,6,14,5,4,1,0,0,40,41,0
43,8,180609,13,13,6,6,5,4,1,0,0,45,41,1
43,8,174575,13,13,4,12,4,4,1,0,0,45,41,0
22,8,410439,15,9,1,10,4,4,1,0,0,55,41,1
28,8,92262,15,9,6,13,5,4,1,0,0,40,41,1
56,7,183081,14,10,6,10,5,4,1,0,0,45,41,1
22,8,362589,9,12,5,10,4,4,0,0,0,15,41,1
57,8,212448,13,13,4,12,4,4,0,0,0,45,41,0
39,8,481060,15,9,4,10,2,4,0,0,0,40,41,1
26,2,185885,14,10,5,11,2,4,0,0,0,15,41,1
17,8,89821,10,7,5,9,3,4,1,0,0,10,41,1
40,4,184018,11,11,6,8,5,4,1,0,0,38,41,0
45,8,256649,15,9,6,8,5,3,1,0,0,40,41,1
44,8,160323,15,9,5,13,4,3,1,0,0,40,41,1
20,6,350845,14,10,5,11,3,4,0,0,0,10,41,1
33,8,267404,15,9,6,13,1,4,0,0,0,40,41,1
23,8,35633,14,10,5,10,4,4,1,0,0,40,41,1
46,7,80914,12,14,4,12,4,4,1,0,0,30,41,1
38,8,172927,15,9,6,10,5,4,1,0,0,50,41,1
54,8,174319,15,9,4,6,4,4,1,0,0,40,41,1
46,8,214955,2,3,4,13,4,4,0,0,0,45,41,1
25,8,344991,14,10,6,13,5,4,1,0,0,40,41,1
46,8,108699,14,10,4,10,4,4,0,0,0,40,41,1
36,6,117312,14,10,6,6,1,4,0,0,0,40,41,1
23,8,396099,15,9,5,9,4,4,0,0,0,25,41,1
29,8,134152,15,9,3,8,4,4,1,0,0,40,41,1
44,8,162028,14,10,6,11,1,4,0,0,0,6,41,0
19,8,25429,14,10,5,11,3,4,0,0,0,16,41,1
19,8,232392,15,9,5,9,0,4,0,0,0,40,41,1
35,8,220098,15,9,6,9,1,4,0,0,0,40,41,0
27,8,301302,13,13,5,13,4,4,1,0,0,50,41,1
46,7,277946,9,12,3,13,4,4,1,0,0,40,41,1
34,4,98101,13,13,6,12,5,4,1,7688,0,45,39,0
34,8,196164,15,9,5,9,4,4,0,0,0,35,41,1
44,8,115562,14,10,6,3,5,4,1,0,0,40,41,1
45,8,96975,14,10,4,5,2,4,0,0,0,40,41,1
20,5,137300,15,9,5,7,0,4,0,0,0,35,41,1
25,8,86872,13,13,6,12,5,4,1,0,0,55,41,0
52,3,132178,13,13,6,12,5,4,1,0,0,50,41,0
20,8,416103,14,10,5,5,3,4,1,0,0,40,41,1
28,8,108574,14,10,5,9,4,4,0,0,0,40,41,1
50,4,288353,13,13,6,2,5,4,1,0,0,40,41,0
34,8,227689,11,11,4,3,4,4,0,0,0,64,41,1
28,8,166481,7,4,6,5,5,0,1,0,0,40,35,1
41,8,445382,12,14,6,12,5,4,1,0,0,65,41,0
28,8,110145,15,9,6,11,5,4,1,0,0,40,41,1
46,7,317253,15,9,6,13,5,4,1,0,0,25,41,1
28,5,123147,14,10,6,7,1,4,0,0,0,40,41,0
32,8,364657,14,10,6,12,5,4,1,0,0,50,41,1
41,6,42346,14,10,4,9,4,3,0,0,0,24,41,1
24,8,241951,15,9,5,5,2,3,0,0,0,40,41,1
33,8,118500,14,10,4,12,2,4,0,0,0,40,41,1
46,8,188386,3,16,6,12,5,4,1,15024,0,60,41,0
31,4,178356,14,10,6,8,5,4,1,0,0,40,41,1
35,8,92440,4,8,4,13,4,4,1,0,0,50,41,0
52,8,190762,1,2,6,8,5,4,1,0,0,40,40,1
30,8,426017,10,7,5,9,3,4,0,0,0,19,41,1
34,6,243867,10,7,3,8,4,3,1,0,0,40,41,1
34,4,240283,15,9,4,6,2,4,0,0,0,40,41,1
20,8,61777,14,10,6,10,5,4,1,0,0,30,41,1
17,8,175024,10,7,5,5,3,4,1,2176,0,18,41,1
32,4,92003,13,13,6,12,1,4,0,0,0,40,41,0
29,8,188401,15,9,4,4,4,4,1,0,0,40,41,1
33,8,228528,8,6,5,13,2,4,0,0,0,35,41,1
25,8,133373,15,9,6,6,5,4,1,0,0,60,41,1
36,2,255191,12,14,5,14,4,4,1,0,0,40,41,1
23,8,204653,15,9,5,5,4,4,1,0,0,72,26,1
63,3,222289,15,9,6,12,5,4,1,0,0,40,41,0
47,6,287480,12,14,6,14,5,4,1,0,0,40,41,1
37,5,107762,15,9,2,7,4,4,1,0,0,24,41,1
17,5,202521,10,7,5,7,3,4,1,0,0,40,41,1
40,7,204116,13,13,1,14,4,4,0,2174,0,40,41,1
30,8,29662,9,12,6,9,1,4,0,0,0,25,41,0
27,8,116358,14,10,5,13,3,2,1,0,0,40,38,1
33,8,208405,12,14,6,14,5,4,1,0,0,50,41,0
34,6,284843,15,9,5,4,4,3,1,594,0,60,41,1
34,6,117018,14,10,5,2,4,4,0,0,0,40,41,1
23,8,81281,14,10,6,11,5,4,1,0,0,40,41,1
42,6,340148,14,10,6,11,1,4,0,0,0,40,41,1
29,8,363425,13,13,5,14,4,4,1,0,0,40,41,1
45,8,45857,15,9,4,11,4,4,0,0,0,28,41,1
24,2,191073,15,9,5,0,3,4,1,0,0,40,41,1
44,8,116632,14,10,6,14,5,4,1,0,0,40,41,0
27,8,405855,5,5,5,13,0,4,1,0,0,40,40,1
20,8,298227,14,10,5,10,4,4,1,0,0,35,41,1
